artist,title,top_peak,cosine_sim
Kip Moore,Young Love,26,0.013937899405305338
Dolly Parton,Here I Am,37,0.017170785901948458
Pistol Annies,Got My Name Changed Back,48,0.019874686807398945
Chris Stapleton,I Was Wrong,41,0.020978008309170928
Hunter Hayes,You Think You Know Somebody,34,0.022706016181375077
Eli Young Band,Turn It On,42,0.02309772338902054
Kane Brown,Baby Come Back To Me,42,0.023201259467609873
Chase Bryant,Take It On Back,16,0.023778096515152426
Chris Stapleton,Broken Halos,5,0.02416071760561825
Kelsea Ballerini,Miss Me More,28,0.024416713947305286
Blake Shelton,Bet You Still Think About Me,44,0.02452937841030058
Dustin Lynch,Love Me Or Leave Me Alone,31,0.02459266951413574
Tim McGraw and Faith Hill,Speak To A Girl,6,0.024649544331297926
Charlie Worsham,Want Me Too,46,0.025103357983190855
Kelsea Ballerini,Love Me Like You Mean It,5,0.025246149989170425
John Mayer,In The Blood,39,0.02526082455423245
Dan  Shay,When I Pray For You,39,0.025530782275774367
Danielle Bradbery,Worth It,49,0.025952624039874493
Brantley Gilbert,The Ones That Like Me,22,0.02603882180582664
Devin Dawson,All On Me,6,0.02620221033362949
Little Big Town,Pain Killer,49,0.026264976272383393
Kelleigh Bannen,Famous,46,0.026362368904305926
Levi Hummon scooter carusoe chris destefano,Stupid,48,0.026718562037950946
Eric Church,Desperate Man,8,0.02675757612429073
Sugarland ,Babe,8,0.026845007682466983
Cassadee Pope,I Wish I Could Break Your Heart,35,0.026890049619732976
Carrie Underwood,End Up With You,37,0.027013083944822016
Justin Moore ,Home Sweet Home,28,0.027077439987482736
Kane Brown ,What Ifs,1,0.027216037671085345
Nashville Cast,Lately,42,0.027430000445153705
Shania Twain,Lifes About To Get Good,33,0.027492697919172047
Jake Owen,If He Aint Gonna Love You,45,0.027538155921427162
Billy Currington,It Dont Hurt Like It Used To,3,0.027898045330412596
Andy Grammer,Honey Im Good,37,0.027970651829178246
Jake Owen,Real Life,17,0.02811287488062611
Jake Owen,What We Aint Got,19,0.028249561855833598
Blake Shelton,Shes Got A Way With Words,8,0.028351587552702243
Luke Bryan,To The Moon And Back,37,0.028495690791823992
Kenny Chesney ,Better Boat,36,0.028611490008013888
Nashville Cast,He Aint Gonna Change,50,0.028742431013536664
The Band Perry,Live Forever,29,0.028749001672810685
Florida Georgia Line,Stay,1,0.028750423442668798
Morgan Evans,Things That We Drink To,46,0.028938742752755355
Darius Rucker,If I Told You,4,0.028976044342866335
The Band Perry,Dont Let Me Be Lonely,9,0.029203095401052794
Bebe Rexha,Meant To Be,1,0.029222766123064743
Nashville Cast ,Sanctuary,31,0.029378202436606268
Taylor Ray Holbrook,These Hands,48,0.029476349766061262
Zac Brown Band,Someone I Used To Know,27,0.02953084966329881
Brantley Gilbert,You Could Be That Girl,50,0.02955795283711278
Jason Aldean,Ill Wait For You,32,0.02956507808384261
Mickey Guyton,Why Baby Why,45,0.02960146792185781
Florida Georgia Line,If I Die Tomorrow,33,0.029674004821257812
Josh Abbott Band,Amnesia,45,0.029727335116536607
Craig Wayne Boyd,You Look So Good In Love,35,0.02976194553531449
Mo Pitney,Boy and A Girl Thing,50,0.029796871526082156
Chris Stapleton,Second One To Know,37,0.02986101630033938
Pentatonix ,Jolene,18,0.029913682495930276
Brett Eldredge,Lose My Mind,2,0.03006125362370469
Steven Tyler,Love Is Your Name,19,0.030089032146430827
Sam Hunt,Take Your Time,1,0.030121825134262644
Keith Urban ,The Fighter,2,0.030194805555304436
Chris Young,Who I Am With You,8,0.030213372250844965
Zac Brown Band,All The Best,43,0.030447374647184666
Tim McGraw and Faith Hill,Keep Your Eyes On Me,44,0.03045068223851618
Kane Brown,There Goes My Everything,27,0.030492224503832863
Jana Kramer,I Got The Boy,5,0.030513958781858423
Thompson Square,Everything I Shouldnt Be Thinking About,15,0.030647567516847482
