artist,title,cosine_sim,in_country
Carlos Vives,La Bicicleta,0.00336523438930288,0
Enrique Iglesias,Duele El Corazon,0.0034545095224780427,0
Dillon Francis and DJ Snake,Get Low,0.0039171075579375585,0
Maluma,Felices Los 4,0.004290491265176794,0
Nicky Jam,El Amante,0.004386202001580538,0
Wisin,Escapate Conmigo,0.004767936444281083,0
Enrique Iglesias,El Perdedor,0.004971719043562085,0
Bad Bunny,MIA,0.005179264477404898,0
Shakira,Perro Fiel,0.005372455814655922,0
DJ Suede,Cash Me Outside,0.005443390657557536,0
Shakira,Me Enamore,0.0054559607574165255,0
Daddy Yankee,Shaky Shaky,0.005464142389343935,0
J Balvin and Willy William,Mi Gente,0.00548689234194704,0
BTS,DNA,0.0054917857442382916,0
Daddy Yankee,Dura,0.005828876256829271,0
Wisin,Adrenalina,0.005876247894564586,0
Becky G,Mayores,0.005896338886179402,0
Enrique Iglesias,Bailando,0.006328545994088271,0
Nicky Jam,X,0.006339593104616357,0
Jon Bellion,All Time Low,0.006374347387038446,0
Reik,Me Niego,0.006431600311319145,0
6ix9ine,BEBE,0.006856758247685634,0
Natti Natasha,Criminal,0.007078886280055615,0
Enrique Iglesias,El Bano,0.007863834286243043,0
Silento,Watch Me,0.007917318422097098,0
Shakira,Chantaje,0.007973299294572916,0
Ozuna,Unica,0.008037434401605295,0
Romeo Santos,Heroe Favorito,0.008304749777167353,0
J Balvin,Ginza,0.008609772391049254,0
Romeo Santos,Bella y Sensual,0.008623086723765381,0
Naughty Boy,La La La,0.008730453573294047,0
Martin Garrix,Animals,0.010569225320472461,0
Ozuna and Cardi B,La Modelo,0.010578022644072356,0
Calvin Harris,This Is What You Came For,0.010598887614477758,0
PSY,Daddy,0.011035458214843703,0
BTS,Fake Love,0.01118628961490895,0
Romeo Santos,Imitadora,0.011234716926290944,0
Childish Gambino,Summertime Magic,0.01195724590223829,0
Marian Hill,Down,0.012453928262273308,0
Migos,Walk It Talk It,0.012561204386729355,0
KIDS SEE GHOSTS,Reborn,0.012669176738226515,0
Enrique Iglesias,Subeme La Radio,0.01282754633763786,0
Trey Songz,Na Na,0.013144437275593045,0
Luis Fonsi and Demi Lovato,Echame La Culpa,0.013399325858615726,0
DJ Snake and Lil Jon,Turn Down For What,0.013537954680657095,0
Iggy Azalea,Kream,0.013566538763162354,0
Calvin Harris and Disciples,How Deep Is Your Love,0.013680379356457759,0
Yo Gotti,Rake It Up,0.0139183500050151,0
John Mayer,Who You Love,0.013930005610946199,0
OK Go,I Wont Let You Down,0.013973591401106673,0
Nicki Minaj,Pills N Potions,0.014006228795855669,0
Sia,The Greatest,0.014040791070718983,0
Jose Feliciano,Feliz Navidad,0.014086948483895015,0
Coldplay,Magic,0.014391035015561961,0
Katy Perry,Roar,0.014458873005892072,0
Ariana Grande,Everyday,0.014532568228389177,0
J Cole,ATM,0.014575281592468145,0
Future,Wicked,0.014750598269383757,0
Mike WiLL Made It and Rihanna,Nothing Is Promised,0.014799666744531741,0
Skrillex and Diplo,Where Are U Now,0.014904508367883087,0
2 Chainz,Its A Vibe,0.014956227859835938,0
Calvin Harris,My Way,0.01495915262903469,0
Rihanna,Bitch Better Have My Money,0.015025958212791547,0
Cardi B and YG,She Bad,0.015070701058610926,0
BLACKPINK,DDU DU DDU DU,0.015243410158800604,0
Rick Ross,Trap Trap Trap,0.015273274836327035,0
Ugly God,Water,0.015310960871630242,0
OT Genasis,CoCo,0.015312621633786938,0
XXXTENTACION,Look At Me!,0.015400896008211856,0
Fifth Harmony,Work From Home,0.015444519613743922,0
Ariana Grande,Pete Davidson,0.01551297219264765,0
The Weeknd,False Alarm,0.015538918279956298,0
Selena Gomez,Bad Liar,0.015549392893628498,0
YG,My Hitta,0.01560748324293759,0
Cardi B,Money Bag,0.01562514461797186,0
The Weeknd,All I Know,0.015658269504849144,0
